date,variant,portfolio_return,selected_count,cash_proxy,turnover,selected_tickers
2022-05-26,raw_target_return_with_final_scaling,0.018095053099168094,2,2.220446049250313e-16,1.0,"PEP,YPF"
2022-06-03,raw_target_return_with_final_scaling,0.01032052141540375,2,0.0,1.0,"AMD,VIST"
2022-06-10,raw_target_return_with_final_scaling,-0.08711720632298123,2,2.220446049250313e-16,0.6666666666666666,"AMD,CCJ"
2022-06-17,raw_target_return_with_final_scaling,0.01934990963124489,2,0.6000000000000002,0.6666666666666666,"CCJ,COST"
2022-06-27,raw_target_return_with_final_scaling,-0.02169526248448095,2,0.0,0.0,"CCJ,COST"
2022-07-05,raw_target_return_with_final_scaling,0.0037981003402582777,2,0.6000000000000002,0.6666666666666666,"COST,PEP"
2022-07-12,raw_target_return_with_final_scaling,0.004257792931693099,2,1.1102230246251565e-16,0.6666666666666666,"CCJ,COST"
2022-07-19,raw_target_return_with_final_scaling,0.018540532728732198,2,2.220446049250313e-16,0.6666666666666666,"COST,QCOM"
2022-07-26,raw_target_return_with_final_scaling,0.02164039992499494,2,3.3306690738754696e-16,0.0,"COST,QCOM"
2022-08-02,raw_target_return_with_final_scaling,0.037609599440314334,2,3.3306690738754696e-16,1.0,"AMZN,TXN"
2022-08-09,raw_target_return_with_final_scaling,0.013097281628008797,2,2.220446049250313e-16,1.0,"AAPL,VIST"
2022-08-16,raw_target_return_with_final_scaling,0.004262755850916274,3,2.220446049250313e-16,0.75,"AAPL,MSFT,YPF"
2022-08-23,raw_target_return_with_final_scaling,0.02453927231346114,2,2.220446049250313e-16,0.75,"VIST,YPF"
2022-08-30,raw_target_return_with_final_scaling,-0.00411580151868918,2,0.6,0.0,"VIST,YPF"
2022-09-07,raw_target_return_with_final_scaling,0.010386054966624836,2,0.6000000000000002,0.6666666666666666,"CCJ,YPF"
2022-09-14,raw_target_return_with_final_scaling,-0.02058015798797023,2,0.6000000000000002,0.6666666666666666,"PEP,YPF"
2022-09-21,raw_target_return_with_final_scaling,-0.0020988933135019177,2,0.6000000000000004,0.6666666666666666,"VIST,YPF"
2022-09-28,raw_target_return_with_final_scaling,-0.016490110119419744,2,2.220446049250313e-16,0.0,"VIST,YPF"
2022-10-05,raw_target_return_with_final_scaling,0.00363679350263498,2,0.6000000000000001,0.0,"VIST,YPF"
2022-10-12,raw_target_return_with_final_scaling,0.046347398482974686,2,2.220446049250313e-16,0.0,"VIST,YPF"
2022-10-19,raw_target_return_with_final_scaling,0.002784203310132849,2,2.220446049250313e-16,0.6666666666666666,"NFLX,VIST"
2022-10-26,raw_target_return_with_final_scaling,-0.024047154851706297,2,2.220446049250313e-16,0.6666666666666666,"PEP,VIST"
2022-11-02,raw_target_return_with_final_scaling,0.00017098306347944,2,0.6000000000000002,0.6666666666666666,"VIST,YPF"
2022-11-09,raw_target_return_with_final_scaling,0.06394821206355679,2,2.220446049250313e-16,0.6666666666666666,"AMAT,VIST"
2022-11-16,raw_target_return_with_final_scaling,-0.016444448845177095,2,2.220446049250313e-16,0.6666666666666666,"AMAT,NFLX"
2022-11-23,raw_target_return_with_final_scaling,-0.016127793491765696,2,2.220446049250313e-16,0.6666666666666666,"AMAT,NVDA"
2022-12-01,raw_target_return_with_final_scaling,-0.011734752296787847,2,2.220446049250313e-16,1.0,"AVGO,CSCO"
2022-12-08,raw_target_return_with_final_scaling,-0.018231616837597296,2,1.1102230246251565e-16,1.0,"AMD,NVDA"
2022-12-15,raw_target_return_with_final_scaling,0.0004912062910344397,2,0.6000000000000002,1.0,"AVGO,VIST"
2022-12-22,raw_target_return_with_final_scaling,0.012383081898507646,2,2.220446049250313e-16,0.6666666666666666,"AVGO,YPF"
2022-12-30,raw_target_return_with_final_scaling,-0.04624021879381678,2,2.220446049250313e-16,0.6666666666666666,"AVGO,VIST"
2023-01-09,raw_target_return_with_final_scaling,-0.002521346364191779,2,0.6000000000000001,0.6666666666666666,"VIST,YPF"
2023-01-17,raw_target_return_with_final_scaling,-0.07969569360763763,2,2.220446049250313e-16,0.0,"VIST,YPF"
2023-01-24,raw_target_return_with_final_scaling,0.010380827947808847,2,2.220446049250313e-16,0.6666666666666666,"CCJ,YPF"
2023-01-31,raw_target_return_with_final_scaling,0.0032347990347662003,2,1.1102230246251565e-16,0.0,"CCJ,YPF"
2023-02-07,raw_target_return_with_final_scaling,-0.015318870630595748,3,2.220446049250313e-16,1.0,"META,NVDA,TSLA"
2023-02-14,raw_target_return_with_final_scaling,0.007417852678740847,2,2.220446049250313e-16,0.3333333333333333,"NVDA,TSLA"
2023-02-22,raw_target_return_with_final_scaling,0.0057002316659308,2,0.0,0.6666666666666666,"META,TSLA"
2023-03-01,raw_target_return_with_final_scaling,0.016769785080934248,2,1.1102230246251565e-16,0.6666666666666666,"META,NVDA"
2023-03-08,raw_target_return_with_final_scaling,-0.011473191357339948,2,2.220446049250313e-16,0.6666666666666666,"META,VIST"
2023-03-15,raw_target_return_with_final_scaling,0.06567835439013753,2,2.220446049250313e-16,1.0,"AMD,NVDA"
2023-03-22,raw_target_return_with_final_scaling,0.024621260478924586,2,5.551115123125783e-16,0.6666666666666666,"AMD,GOOGL"
2023-03-29,raw_target_return_with_final_scaling,0.013774527721143045,2,3.3306690738754696e-16,1.0,"INTC,QQQ"
2023-04-05,raw_target_return_with_final_scaling,0.018600327555861995,2,2.220446049250313e-16,0.6666666666666666,"GOOGL,INTC"
2023-04-13,raw_target_return_with_final_scaling,0.024974830073527146,2,2.220446049250313e-16,1.0,"META,VIST"
2023-04-20,raw_target_return_with_final_scaling,-0.007562992658185049,2,2.220446049250313e-16,1.0,"NVDA,YPF"
2023-04-27,raw_target_return_with_final_scaling,0.0176937262132671,2,1.1102230246251565e-16,1.0,"META,VIST"
2023-05-04,raw_target_return_with_final_scaling,0.002154969387837919,2,0.6000000000000002,1.0,"NFLX,PEP"
2023-05-11,raw_target_return_with_final_scaling,0.0022385238277185995,2,1.1102230246251565e-16,1.0,"GOOGL,QQQ"
2023-05-18,raw_target_return_with_final_scaling,-0.0014116084466987498,2,2.220446049250313e-16,0.0,"GOOGL,QQQ"
2023-05-25,raw_target_return_with_final_scaling,0.0853333844989559,2,4.440892098500626e-16,1.0,"AMD,AVGO"
2023-06-02,raw_target_return_with_final_scaling,-0.008482208396998998,2,2.220446049250313e-16,0.6666666666666666,"ADBE,AVGO"
2023-06-09,raw_target_return_with_final_scaling,0.03382912417544844,2,2.220446049250313e-16,0.6666666666666666,"ADBE,TSLA"
2023-06-16,raw_target_return_with_final_scaling,0.017283836740919642,2,3.3306690738754696e-16,0.0,"ADBE,TSLA"
2023-06-26,raw_target_return_with_final_scaling,0.005688531094182148,2,5.551115123125783e-16,0.6666666666666666,"TSLA,YPF"
2023-07-03,raw_target_return_with_final_scaling,0.0036213704834400988,2,4.440892098500626e-16,0.6666666666666666,"NVDA,TSLA"
2023-07-11,raw_target_return_with_final_scaling,0.006672602063388447,2,4.440892098500626e-16,0.6666666666666666,"ADBE,TSLA"
2023-07-18,raw_target_return_with_final_scaling,-0.010332634078823948,2,2.220446049250313e-16,1.0,"MSFT,YPF"
2023-07-25,raw_target_return_with_final_scaling,0.0014940524611197995,2,3.3306690738754696e-16,1.0,"COST,PEP"
2023-08-01,raw_target_return_with_final_scaling,-0.031156918794677843,2,1.1102230246251565e-16,1.0,"CCJ,GOOGL"
2023-08-08,raw_target_return_with_final_scaling,-0.0027974629854113494,2,2.220446049250313e-16,0.0,"CCJ,GOOGL"
2023-08-15,raw_target_return_with_final_scaling,-0.0036621948956866495,2,2.220446049250313e-16,1.0,"ADBE,VIST"
2023-08-22,raw_target_return_with_final_scaling,0.009964049317900169,2,0.6000000000000004,0.6666666666666666,"CSCO,VIST"
2023-08-29,raw_target_return_with_final_scaling,0.008098844418925548,2,1.1102230246251565e-16,0.6666666666666666,"CCJ,CSCO"
2023-09-06,raw_target_return_with_final_scaling,-0.017474301806101197,2,1.1102230246251565e-16,1.0,"ADBE,AMAT"
2023-09-13,raw_target_return_with_final_scaling,0.011813136704678245,2,4.440892098500626e-16,1.0,"CCJ,INTC"
2023-09-20,raw_target_return_with_final_scaling,-0.02235981102958559,2,4.440892098500626e-16,0.6666666666666666,"CCJ,TSLA"
2023-09-27,raw_target_return_with_final_scaling,0.009042802943140651,2,0.6000000000000004,0.6666666666666666,"CCJ,VIST"
2023-10-04,raw_target_return_with_final_scaling,0.004793676615114999,2,4.440892098500626e-16,0.6666666666666666,"COST,VIST"
2023-10-11,raw_target_return_with_final_scaling,-0.0033514763069530493,2,2.220446049250313e-16,0.6666666666666666,"QQQ,VIST"
2023-10-18,raw_target_return_with_final_scaling,-0.0012676303961511996,2,4.440892098500626e-16,0.6666666666666666,"ADBE,VIST"
2023-10-25,raw_target_return_with_final_scaling,-0.016780597072022202,2,0.0,0.6666666666666666,"CCJ,VIST"
2023-11-01,raw_target_return_with_final_scaling,0.027181206333382092,2,4.440892098500626e-16,0.6666666666666666,"CCJ,NFLX"
2023-11-08,raw_target_return_with_final_scaling,-0.005173050050082499,2,1.1102230246251565e-16,0.6666666666666666,"MSFT,NFLX"
2023-11-15,raw_target_return_with_final_scaling,0.004948973246558248,2,2.220446049250313e-16,1.0,"AAPL,QQQ"
2023-11-22,raw_target_return_with_final_scaling,0.002504089280573549,2,4.440892098500626e-16,1.0,"AMD,INTC"
2023-11-30,raw_target_return_with_final_scaling,-0.02458535402904754,2,4.440892098500626e-16,0.6666666666666666,"INTC,YPF"
2023-12-07,raw_target_return_with_final_scaling,0.019254807299321445,2,2.220446049250313e-16,0.6666666666666666,"COST,YPF"
2023-12-14,raw_target_return_with_final_scaling,0.011038841474331946,2,4.440892098500626e-16,0.0,"COST,YPF"
2023-12-21,raw_target_return_with_final_scaling,-0.006604479144700047,2,4.440892098500626e-16,0.6666666666666666,"AVGO,YPF"
2023-12-29,raw_target_return_with_final_scaling,-0.038205655614564835,2,3.3306690738754696e-16,0.6666666666666666,"AVGO,INTC"
2024-01-08,raw_target_return_with_final_scaling,0.014683424614674848,2,2.220446049250313e-16,1.0,"AMD,COST"
2024-01-16,raw_target_return_with_final_scaling,-0.013538509677801392,2,4.440892098500626e-16,1.0,"CCJ,NVDA"
2024-01-23,raw_target_return_with_final_scaling,0.010692676806021694,2,4.440892098500626e-16,0.6666666666666666,"AAPL,NVDA"
2024-01-30,raw_target_return_with_final_scaling,-0.008813140461593249,2,3.3306690738754696e-16,0.6666666666666666,"NFLX,NVDA"
2024-02-06,raw_target_return_with_final_scaling,0.03009974089016635,2,0.0,0.6666666666666666,"META,NVDA"
2024-02-13,raw_target_return_with_final_scaling,0.02658436147853519,2,2.220446049250313e-16,0.0,"META,NVDA"
2024-02-21,raw_target_return_with_final_scaling,0.04403031023477183,2,4.440892098500626e-16,0.6666666666666666,"AMAT,META"
2024-02-28,raw_target_return_with_final_scaling,0.019655777602141596,2,1.1102230246251565e-16,0.6666666666666666,"AMAT,NVDA"
2024-03-06,raw_target_return_with_final_scaling,0.006972224771340799,2,2.220446049250313e-16,0.6666666666666666,"NVDA,VIST"
2024-03-13,raw_target_return_with_final_scaling,-0.021478754507586392,2,4.440892098500626e-16,0.0,"NVDA,VIST"
2024-03-20,raw_target_return_with_final_scaling,0.009137780642363397,2,2.220446049250313e-16,0.0,"NVDA,VIST"
2024-03-27,raw_target_return_with_final_scaling,0.004346983796264348,2,4.440892098500626e-16,1.0,"GOOGL,PEP"
2024-04-04,raw_target_return_with_final_scaling,0.022831820816056735,2,5.551115123125783e-16,1.0,"CCJ,VIST"
2024-04-11,raw_target_return_with_final_scaling,-0.0188985447706393,2,0.0,0.6666666666666666,"CCJ,YPF"
2024-04-18,raw_target_return_with_final_scaling,0.002711053163850739,2,0.6000000000000002,0.6666666666666666,"CCJ,VIST"
2024-04-25,raw_target_return_with_final_scaling,0.005559895602242598,2,2.220446049250313e-16,0.0,"CCJ,VIST"
2024-05-02,raw_target_return_with_final_scaling,0.0316538340329922,2,0.0,1.0,"TXN,YPF"
2024-05-09,raw_target_return_with_final_scaling,0.0005498999339326998,2,4.440892098500626e-16,0.6666666666666666,"AAPL,TXN"
2024-05-16,raw_target_return_with_final_scaling,0.0032538105617811487,2,4.440892098500626e-16,1.0,"COST,QCOM"
2024-05-23,raw_target_return_with_final_scaling,0.034173852457557295,2,2.220446049250313e-16,0.6666666666666666,"NVDA,QCOM"
2024-05-31,raw_target_return_with_final_scaling,0.011776690290854947,2,1.1102230246251565e-16,0.6666666666666666,"CCJ,NVDA"
2024-06-07,raw_target_return_with_final_scaling,0.005362749349210849,2,3.3306690738754696e-16,0.6666666666666666,"COST,NVDA"
2024-06-14,raw_target_return_with_final_scaling,0.002712686521383049,2,2.220446049250313e-16,0.6666666666666666,"NVDA,QQQ"
2024-06-24,raw_target_return_with_final_scaling,0.03744546061123104,2,3.3306690738754696e-16,0.6666666666666666,"MSFT,NVDA"
2024-07-01,raw_target_return_with_final_scaling,0.014994851733022101,2,0.0,1.0,"AAPL,ADBE"
2024-07-09,raw_target_return_with_final_scaling,0.00047405214378079996,2,3.3306690738754696e-16,0.6666666666666666,"ADBE,TSLA"
2024-07-16,raw_target_return_with_final_scaling,-0.028355812515889648,2,0.0,0.6666666666666666,"AAPL,TSLA"
2024-07-23,raw_target_return_with_final_scaling,-0.03500894665293198,2,0.6000000000000003,0.6666666666666666,"TSLA,VIST"
2024-07-30,raw_target_return_with_final_scaling,0.0023664625116415587,2,0.6000000000000002,1.0,"COST,PEP"
2024-08-06,raw_target_return_with_final_scaling,-0.0009843469668383196,2,0.6000000000000001,0.6666666666666666,"COST,NFLX"
2024-08-13,raw_target_return_with_final_scaling,-0.0029037525054072992,2,2.220446049250313e-16,0.6666666666666666,"COST,META"
2024-08-20,raw_target_return_with_final_scaling,0.004697014444347599,2,2.220446049250313e-16,0.6666666666666666,"COST,SPY"
2024-08-27,raw_target_return_with_final_scaling,-0.015480395544883141,2,4.440892098500626e-16,1.0,"CSCO,TXN"
2024-09-04,raw_target_return_with_final_scaling,-0.012691681837954298,2,1.1102230246251565e-16,1.0,"VIST,YPF"
2024-09-11,raw_target_return_with_final_scaling,0.013214782374583546,2,2.220446049250313e-16,1.0,"COST,CSCO"
2024-09-18,raw_target_return_with_final_scaling,0.02488512029280924,2,4.440892098500626e-16,1.0,"NFLX,YPF"
2024-09-25,raw_target_return_with_final_scaling,0.005655835200078798,2,4.440892098500626e-16,1.0,"CSCO,QQQ"
2024-10-02,raw_target_return_with_final_scaling,0.013952905966496093,2,4.440892098500626e-16,1.0,"CCJ,META"
2024-10-09,raw_target_return_with_final_scaling,-0.020887375688614235,2,6.661338147750939e-16,0.6666666666666666,"AMD,CCJ"
2024-10-16,raw_target_return_with_final_scaling,0.008155136430705494,2,4.440892098500626e-16,0.6666666666666666,"CCJ,CSCO"
2024-10-23,raw_target_return_with_final_scaling,-0.0049694358211764475,2,4.440892098500626e-16,0.0,"CCJ,CSCO"
2024-10-30,raw_target_return_with_final_scaling,-0.016976496276119545,2,4.440892098500626e-16,0.6666666666666666,"CSCO,GOOGL"
2024-11-06,raw_target_return_with_final_scaling,0.029403150216751838,2,3.3306690738754696e-16,1.0,"NFLX,YPF"
2024-11-13,raw_target_return_with_final_scaling,-0.009333739864712646,2,4.440892098500626e-16,1.0,"AMZN,SPY"
2024-11-20,raw_target_return_with_final_scaling,0.0117461320792968,2,0.0,1.0,"NFLX,YPF"
2024-11-27,raw_target_return_with_final_scaling,0.0047289173958625155,2,0.6000000000000003,0.6666666666666666,"QQQ,YPF"
2024-12-05,raw_target_return_with_final_scaling,0.032029190360313785,2,4.440892098500626e-16,0.6666666666666666,"TSLA,YPF"
2024-12-12,raw_target_return_with_final_scaling,0.003527048791338198,2,3.3306690738754696e-16,0.6666666666666666,"AMZN,YPF"
2024-12-19,raw_target_return_with_final_scaling,-0.007913318294122947,2,1.1102230246251565e-16,1.0,"AAPL,TSLA"
2024-12-27,raw_target_return_with_final_scaling,-0.015927159758062543,2,4.440892098500626e-16,1.0,"AVGO,YPF"
2025-01-06,raw_target_return_with_final_scaling,-0.005102502903129098,2,2.220446049250313e-16,0.0,"AVGO,YPF"
2025-01-14,raw_target_return_with_final_scaling,0.013381565087456547,2,2.220446049250313e-16,0.6666666666666666,"AVGO,VIST"
2025-01-22,raw_target_return_with_final_scaling,0.0035601943945483498,2,1.1102230246251565e-16,0.6666666666666666,"AVGO,CSCO"
2025-01-29,raw_target_return_with_final_scaling,0.005258180077787449,2,3.3306690738754696e-16,1.0,"META,NFLX"
2025-02-05,raw_target_return_with_final_scaling,0.006148160114526848,2,4.440892098500626e-16,0.6666666666666666,"COST,NFLX"
2025-02-12,raw_target_return_with_final_scaling,0.007703061057805098,2,1.1102230246251565e-16,0.6666666666666666,"COST,META"
2025-02-20,raw_target_return_with_final_scaling,-0.011486143356550533,2,0.6000000000000003,1.0,"CSCO,INTC"
2025-02-27,raw_target_return_with_final_scaling,0.02224452666874295,2,0.0,1.0,"COST,NFLX"
2025-03-06,raw_target_return_with_final_scaling,-0.03875993782968043,2,4.440892098500626e-16,0.0,"COST,NFLX"
2025-03-13,raw_target_return_with_final_scaling,0.00920632258350186,2,0.6,0.6666666666666666,"INTC,NFLX"
2025-03-20,raw_target_return_with_final_scaling,0.00140184496119765,2,2.220446049250313e-16,0.6666666666666666,"CCJ,NFLX"
2025-03-27,raw_target_return_with_final_scaling,-0.016110429168986185,2,0.6000000000000003,0.6666666666666666,"NFLX,YPF"
2025-04-03,raw_target_return_with_final_scaling,-0.023809470188300583,2,0.6,0.6666666666666666,"COST,NFLX"
2025-04-10,raw_target_return_with_final_scaling,-0.0008119466085211999,2,0.6000000000000001,0.0,"COST,NFLX"
2025-04-17,raw_target_return_with_final_scaling,-0.004328137289115217,2,0.6000000000000003,0.0,"COST,NFLX"
2025-04-25,raw_target_return_with_final_scaling,0.0018893119912453391,2,0.6000000000000001,0.0,"COST,NFLX"
2025-05-02,raw_target_return_with_final_scaling,-0.008675115751273948,2,4.440892098500626e-16,0.6666666666666666,"MSFT,NFLX"
2025-05-09,raw_target_return_with_final_scaling,0.016238671786266496,2,2.220446049250313e-16,0.6666666666666666,"CCJ,MSFT"
2025-05-16,raw_target_return_with_final_scaling,0.005109240858848426,2,4.440892098500626e-16,0.6666666666666666,"MSFT,NFLX"
2025-05-23,raw_target_return_with_final_scaling,0.03484681189230789,2,2.220446049250313e-16,1.0,"CCJ,TXN"
2025-06-02,raw_target_return_with_final_scaling,0.02925546662126039,2,2.220446049250313e-16,0.6666666666666666,"AVGO,CCJ"
2025-06-09,raw_target_return_with_final_scaling,-0.015285502401122445,2,4.440892098500626e-16,0.6666666666666666,"CCJ,TXN"
2025-06-16,raw_target_return_with_final_scaling,-0.0016662903740744793,2,0.6000000000000002,0.6666666666666666,"CCJ,COST"
2025-06-24,raw_target_return_with_final_scaling,-0.0031194334299899183,2,0.6000000000000002,0.6666666666666666,"CCJ,NFLX"
2025-07-01,raw_target_return_with_final_scaling,-0.0037600453225770493,2,2.220446049250313e-16,0.6666666666666666,"CCJ,CSCO"
2025-07-09,raw_target_return_with_final_scaling,0.011300903961187147,2,3.3306690738754696e-16,1.0,"NVDA,TXN"
2025-07-16,raw_target_return_with_final_scaling,0.005786546284107148,2,3.3306690738754696e-16,0.6666666666666666,"AMD,NVDA"
2025-07-23,raw_target_return_with_final_scaling,0.015887901763129646,2,2.220446049250313e-16,0.6666666666666666,"AMD,MSFT"
2025-07-30,raw_target_return_with_final_scaling,-0.020692528844887394,2,2.220446049250313e-16,0.6666666666666666,"AMD,GOOGL"
2025-08-06,raw_target_return_with_final_scaling,-0.004842775046544498,2,4.440892098500626e-16,0.6666666666666666,"GOOGL,YPF"
2025-08-13,raw_target_return_with_final_scaling,-0.010586471531464149,2,2.220446049250313e-16,1.0,"AAPL,AMD"
2025-08-20,raw_target_return_with_final_scaling,-0.008260727064685548,2,4.440892098500626e-16,0.6666666666666666,"AAPL,PEP"
2025-08-27,raw_target_return_with_final_scaling,-0.0001347866296530502,2,2.220446049250313e-16,1.0,"QCOM,TXN"
2025-09-04,raw_target_return_with_final_scaling,0.009776270857448997,2,2.220446049250313e-16,1.0,"COST,GOOGL"
2025-09-11,raw_target_return_with_final_scaling,0.0011002840199559388,2,0.6000000000000004,0.0,"COST,GOOGL"
2025-09-18,raw_target_return_with_final_scaling,-0.010855670715558995,2,3.3306690738754696e-16,0.6666666666666666,"GOOGL,INTC"
2025-09-25,raw_target_return_with_final_scaling,0.03303401270831079,2,1.1102230246251565e-16,0.6666666666666666,"AMAT,INTC"
2025-10-02,raw_target_return_with_final_scaling,-0.01985181817951069,2,2.220446049250313e-16,0.0,"AMAT,INTC"
2025-10-09,raw_target_return_with_final_scaling,-0.04240605636865559,2,2.220446049250313e-16,0.0,"AMAT,INTC"
2025-10-16,raw_target_return_with_final_scaling,-0.009149028030556249,2,3.3306690738754696e-16,0.6666666666666666,"AMAT,AMD"
2025-10-23,raw_target_return_with_final_scaling,0.015889142470980704,2,0.6000000000000004,0.6666666666666666,"AMD,INTC"
2025-10-30,raw_target_return_with_final_scaling,0.0019962278816340997,2,2.220446049250313e-16,0.6666666666666666,"AMD,GOOGL"
2025-11-06,raw_target_return_with_final_scaling,-0.013954829506123043,2,4.440892098500626e-16,0.6666666666666666,"GOOGL,YPF"
2025-11-13,raw_target_return_with_final_scaling,0.00012927161303439888,2,1.1102230246251565e-16,0.6666666666666666,"CSCO,GOOGL"
2025-11-20,raw_target_return_with_final_scaling,-0.013930113042090533,2,0.6000000000000002,1.0,"VIST,YPF"
2025-11-28,raw_target_return_with_final_scaling,-0.002269028719136638,2,0.6000000000000003,1.0,"GOOGL,PEP"
2025-12-05,raw_target_return_with_final_scaling,-0.013252357382246194,2,2.220446049250313e-16,0.6666666666666666,"GOOGL,SPY"
2025-12-12,raw_target_return_with_final_scaling,0.021785624292944346,2,2.220446049250313e-16,1.0,"AMAT,TSLA"
2025-12-19,raw_target_return_with_final_scaling,0.010170635393198995,2,6.661338147750939e-16,0.6666666666666666,"ADBE,TSLA"
2025-12-29,raw_target_return_with_final_scaling,-0.00217804870436575,2,2.220446049250313e-16,1.0,"CCJ,VIST"
2026-01-06,raw_target_return_with_final_scaling,0.00571688078156675,2,2.220446049250313e-16,1.0,"AMAT,GOOGL"
2026-01-13,raw_target_return_with_final_scaling,-0.0050807739927303,2,2.220446049250313e-16,0.0,"AMAT,GOOGL"
2026-01-21,raw_target_return_with_final_scaling,-0.005327624436296894,2,0.6000000000000004,0.6666666666666666,"AMAT,COST"
2026-01-28,raw_target_return_with_final_scaling,0.005249033801026898,2,3.3306690738754696e-16,0.6666666666666666,"AMAT,CCJ"
2026-02-04,raw_target_return_with_final_scaling,0.006439408261340899,2,2.220446049250313e-16,1.0,"PEP,TXN"
2026-02-11,raw_target_return_with_final_scaling,-0.06737271473209017,2,4.440892098500626e-16,0.6666666666666666,"CSCO,PEP"
2026-02-19,raw_target_return_with_final_scaling,0.007503472557737498,2,2.220446049250313e-16,1.0,"AMAT,VIST"
2026-02-26,raw_target_return_with_final_scaling,0.0018934145601255488,2,4.440892098500626e-16,0.6666666666666666,"AMAT,PEP"
2026-03-05,raw_target_return_with_final_scaling,0.013456659038459152,2,0.0,1.0,"NFLX,VIST"
2026-03-12,raw_target_return_with_final_scaling,0.009720470248851755,2,0.6000000000000002,0.0,"NFLX,VIST"
2026-03-19,raw_target_return_with_final_scaling,-0.005731748878000798,2,2.220446049250313e-16,0.0,"NFLX,VIST"
2026-03-26,raw_target_return_with_final_scaling,0.012077490322552994,2,0.6000000000000002,0.6666666666666666,"VIST,YPF"
2026-04-02,raw_target_return_with_final_scaling,-0.013047928457724593,2,4.440892098500626e-16,0.6666666666666666,"COST,YPF"
2026-04-10,raw_target_return_with_final_scaling,0.027053550927080245,2,2.220446049250313e-16,1.0,"INTC,TXN"
2026-04-17,raw_target_return_with_final_scaling,-0.007821294915525146,2,4.440892098500626e-16,1.0,"GOOGL,QQQ"
2026-04-24,raw_target_return_with_final_scaling,-0.010828930757901095,2,4.440892098500626e-16,1.0,"AMZN,AVGO"
2026-05-01,raw_target_return_with_final_scaling,-0.04562262190341524,2,2.220446049250313e-16,1.0,"AMD,INTC"
2026-05-08,raw_target_return_with_final_scaling,0.022045995330625394,2,2.220446049250313e-16,0.0,"AMD,INTC"
2026-05-15,raw_target_return_with_final_scaling,-0.007646912758953097,2,4.440892098500626e-16,0.6666666666666666,"AAPL,AMD"
